"Field","Value"
"Customer","NACM - INDAH WATER KONSORTIUM SDN BHD"
"CustomerAddress","NO. 12-2A, JALAN 15/1F, SEKSYEN 15, 43650 B.B.BANGI, SELANGOR"
"CertificateNo","TMSB/PG/0136"
"DateOfIssue","13/02/2026"
"InstrumentName","Pressure Gauge"
"ManufacturerModel","958237"
"Range","10 BAR"
"SerialNumber","TMSB/00193"
"FactoryNumber","Nil"
"IdNumber","N/A"
"ReceivedCondition","N/A"
"ReturnedCondition","Good Physical Condition"
"CalibrationDate","12/2/2026"
"DueDate","12/2/2027"
"CalibrationProcedure","TMCP STANDARD CALIBRATION PROCEDURE"
"Result","PASS"
"CalibratedBy","Mohd Syukri Yusof"
"ApprovedBy","Shalihin Idris"
"MasterInstrument.Type","Pressure Gauge"
"MasterInstrument.Certificate","VNA/A3880/25"
"MasterInstrument.SerialNo","PR2407101"
"MasterInstrument.DueDate","18/3/2026"
"MasterInstrument.Traceability","NM"
"Reading.0bar","0.0"
"Reading.2bar","2.1"
"Reading.4bar","4.1"
"Reading.6bar","6.0"
"Reading.8bar","8.0"
